Io_Julian_Date (HJD),Io_Offset (Jup Diameters),Europa_Julian_Date (HJD),Europa_Offset (Jup Diameters),Ganymede_Julian_Date (HJD),Ganymede_Offset (Jup Diameters),Callisto_Julian_Date (HJD),Callisto_Offset (Jup Diameters)
2449333.75,1.697491798,2449334,3.278980636,2449334,-7.112790118,2449334,0.8457882968
2449334,3.010690347,2449334.5,-0.6003461893,2449334.5,-7.634904472,2449334.5,3.34985278
2449334.25,2.067332261,2449335,-4.044330765,2449335,-6.703746101,2449335,5.735247056
2449334.5,-0.4255217181,2449335.5,-4.555560712,2449335.5,-4.496557179,2449335.5,7.917467348
2449334.75,-2.59944092,2449336,-1.763316607,2449336,-1.433467056,2449336,9.81920741
2449335,-2.825040975,2449336.5,2.307600102,2449336.5,1.90247764,2449336.5,11.37309716
2449335.25,-0.9332313236,2449337,4.705155931,2449337,4.876293523,2449337,12.52408926
2449335.5,1.658048909,2449337.5,3.690758432,2449337.5,6.921926952,2449337.5,13.23140927
2449335.75,3.006597133,2449338,-4.08E-09,2449338,7.65,2449338,13.47
2449336,2.101656649,2449338.5,-3.690758435,2449338.5,6.92192695,2449338.5,13.23140927
2449336.25,-0.3785063598,2449339,-4.705155931,2449339,4.876293521,2449339,12.52408927
2449336.5,-2.574973296,2449339.5,-2.307600095,2449339.5,1.902477633,2449339.5,11.37309716
2449336.75,-2.841459923,2449340,1.76331661,2449340,-1.433467059,2449340,9.819207412
2449337,-0.9782306065,2449340.5,4.555560714,2449340.5,-4.496557181,2449340.5,7.917467349
2449337.25,1.618196917,2449341,4.044330761,2449341,-6.703746104,2449341,5.735247058
2449337.5,3.001762085,2449341.5,0.6003461857,2449341.5,-7.634904473,2449341.5,3.349852782
2449337.75,2.135462481,2449342,-3.278980639,2449342,-7.112790117,2449342,0.8457882988
2449338,-0.3313976164,2449342.5,-4.780548029,2449342.5,-5.23678536,2449342.5,-1.688238655
2449338.25,-2.549870333,2449343,-2.815491356,2449343,-2.363980004,2449343,-4.162458913
2449338.5,-2.857177785,2449343.5,1.191224561,2449343.5,0.9587992383,2449343.5,-6.489221989
2449338.75,-1.02298852,2449344,4.334121582,2449344,4.099074982,2449344,-8.586101141
2449339,1.577945663,2449344.5,4.33412158,2449344.5,6.459108632,2449344.5,-10.37881338
2449339.25,2.996186397,2449345,1.191224557,2449345,7.589677465,2449345,-11.80385098
2449339.5,2.168741423,2449345.5,-2.815491359,2449345.5,7.275582349,2449345.5,-12.81073127
2449339.75,-0.2842071055,2449346,-4.780548029,2449346,5.576609998,2449346,-13.36378503
2449340,-2.52413823,2449346.5,-3.278980636,2449346.5,2.816152826,2449346.5,-13.44342003
2449340.25,-2.87219068,2449347,0.6003461897,2449347,-0.4803474752,2449347,-13.04681518
2449340.5,-1.067494032,2449347.5,4.044330765,2449347.5,-3.68541561,2449347.5,-12.1880204
2449340.75,1.537305071,2449348,4.555560712,2449348,-6.188980008,2449348,-10.89745892
2449341,2.989871446,2449348.5,1.763316606,2449348.5,-7.514497468,2449348.5,-9.220849517
2449341.25,2.201485257,2449349,-2.307600103,2449349,-7.409661182,2449349,-7.21758693
2449341.5,-0.2369464652,2449349.5,-4.705155932,2449349.5,-5.894426306,2449349.5,-4.958637726
2449341.75,-2.497783331,2449350,-3.690758432,2449350,-3.257211579,2449350,-2.524026309
2449342,-2.886494905,2449350.5,4.47E-09,2449350.5,3.57E-09,2449350.5,-1.12E-09
2449342.25,-1.111736151,2449351,3.690758435,2449351,3.257211583,2449351,2.524026306
2449342.5,1.496285176,2449351.5,4.705155931,2449351.5,5.894426308,2449351.5,4.958637723
2449342.75,2.982818788,2449352,2.307600099,2449352,7.409661183,2449352,7.217586928
2449343,2.233685911,2449352.5,-1.76331661,2449352.5,7.514497468,2449352.5,9.220849516
2449343.25,-0.1896273675,2449353,-4.555560714,2449353,6.188980006,2449353,10.89745891
2449343.5,-2.470812145,2449353.5,-4.044330763,2449353.5,3.685415607,2449353.5,12.1880204
2449343.75,-2.900086932,2449354,-0.6003461853,2449354,0.4803474716,2449354,13.04681518
2449344,-1.155703971,2449354.5,3.278980639,2449354.5,-2.81615283,2449354.5,13.44342003
2449344.25,1.454896095,2449355,4.780548029,2449355,-5.57661,2449355,13.36378503
2449344.5,2.975030165,2449355.5,2.815491355,2449355.5,-7.275582351,2449355.5,12.81073128
2449344.75,2.265335433,2449356,-1.191224562,2449356,-7.589677465,2449356,11.80385098
2449345,-0.1422614765,2449356.5,-4.334121582,2449356.5,-6.45910863,2449356.5,10.37881338
2449345.25,-2.443231323,2449357,-4.33412158,2449357,-4.099074979,2449357,8.586101143
2449345.5,-2.912963404,2449357.5,-1.191224557,2449357.5,-0.9587992348,2449357.5,6.489221991
2449345.75,-1.199386632,2449358,2.815491359,2449358,2.363980008,2449358,4.162458916
2449346,1.413148036,2449358.5,4.780548029,2449358.5,5.236785363,2449358.5,1.688238657
2449346.25,2.966507496,2449359,3.278980635,2449359,7.112790118,2449359,-0.8457882966
2449346.5,2.296426017,2449359.5,-0.6003461901,2449359.5,7.634904472,2449359.5,-3.349852779
2449346.75,-0.09486049024,2449360,-4.044330766,2449360,6.703746101,2449360,-5.735247056
2449347,-2.415047667,2449360.5,-4.555560712,2449360.5,4.496557178,2449360.5,-7.917467348
2449347.25,-2.925121148,2449361,-1.763316606,2449361,1.433467055,2449361,-9.81920741
2449347.5,-1.242773363,2449361.5,2.307600099,2449361.5,-1.902477637,2449361.5,-11.37309716
2449347.75,1.371051308,2449362,4.705155932,2449362,-4.876293524,2449362,-12.52408926
2449348,2.957252888,2449362.5,3.690758432,2449362.5,-6.921926952,2449362.5,-13.23140927
2449348.25,2.326949996,2449363,-3.9E-10,2449363,-7.65,2449363,-13.47
2449348.5,-0.04743609293,2449363.5,-3.690758435,2449363.5,-6.92192695,2449363.5,-13.23140927
2449348.75,-2.386268137,2449364,-4.705155931,2449364,-4.87629352,2449364,-12.52408927
2449349,-2.93655716,2449364.5,-2.307600098,2449364.5,-1.902477636,2449364.5,-11.37309716
2449349.25,-1.285853464,2449365,1.763316611,2449365,1.433467059,2449365,-9.819207412
2449349.5,1.328616289,2449365.5,4.555560714,2449365.5,4.496557181,2449365.5,-7.91746735
2449349.75,2.947268621,2449366,4.044330763,2449366,6.703746103,2449366,-5.735247058
2449350,2.356899831,2449366.5,0.6003461849,2449366.5,7.634904473,2449366.5,-3.349852782
2449350.25,2.91E-09,2449367,-3.278980639,2449367,7.112790116,2449367,-0.845788299
2449350.5,-2.356899828,2449367.5,-4.780548029,2449367.5,5.23678536,2449367.5,1.688238654
2449350.75,-2.947268622,2449368,-2.815491355,2449368,2.363980004,2449368,4.162458913
2449351,-1.328616294,2449368.5,1.191224562,2449368.5,-0.9587992389,2449368.5,6.489221988
2449351.25,1.285853458,2449369,4.334121582,2449369,-4.099074982,2449369,8.586101141
2449351.5,2.936557159,2449369.5,4.334121579,2449369.5,-6.459108632,2449369.5,10.37881338
2449351.75,2.38626814,2449370,1.191224557,2449370,-7.589677465,2449370,11.80385098
2449352,0.04743609874,2449370.5,-2.81549136,2449370.5,-7.275582349,2449370.5,12.81073127
2449352.25,-2.326949992,2449371,-4.780548029,2449371,-5.57661,2449371,13.36378503
2449352.5,-2.957252889,2449371.5,-3.278980635,2449371.5,-2.816152826,2449371.5,13.44342003
2449352.75,-1.371051313,2449372,0.6003461905,2449372,0.4803474758,2449372,13.04681518
2449353,1.242773358,2449372.5,4.044330763,2449372.5,3.685415607,2449372.5,12.1880204
2449353.25,2.925121146,2449373,4.555560712,2449373,6.188980009,2449373,10.89745892